Folio,Sexo,Edad,Gasolina1,Ocupación,País,Ciudad,ConducesAutomóvil,ConducesMotocicleta,Conduces,Gasolina2,Horas1,Gasolina3,Horas2,AñosEscolaridad,AG5,AG7,AG8,AG9,AG14,AG15,AG16,AG21,CAM1,CAM3,CAM4,CAM6,CAM7,CAM12,CAM18,AgrAutoF1,AgrAutoF2,AgrAuto,AgrMoto
    35,1,27,800,TAXISTA,MÉ,CUERNAVACA,1, ,1,800,9, , ,10,3,3,1,2,2,2,3,1, , , , , , , ,2.5,2,2.28571428571429, 
    37,1,45,900,TAXISTA,MÉ,CUERNAVACA,1, ,1,900,8, , ,9,4,4,2,5,2,2,2,1, , , , , , , ,3,3,3, 
    40,1,47,1000,TAXISTA,MÉ,CUERNAVACA,1, ,1,1000,7, , ,8,3,3,2,4,3,3,3,1, , , , , , , ,3,3,3, 
    41,2,59,400,ESTILISTA,MÉ,CUERNAVACA,1, ,1,400,2, , ,17,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
    42,1,44,400,ABARROTERO,MÉ,CUERNAVACA,1, ,1,400,3, , ,12,3,3,2,3,3,2,3,1, , , , , , , ,2.75,2.66666666666667,2.71428571428571, 
    46,1,52,800,TAQUERO,MÉ,CUERNAVACA,1, ,1,800,5, , ,9,5,1,1,1,1,1,1,1, , , , , , , ,2,1,1.57142857142857, 
    47,1,33,1300,RUTERO,MÉ,CUERNAVACA,1, ,1,1300,9, , ,9,4,4,1,4,4,4,4,1, , , , , , , ,4,3,3.57142857142857, 
    48,1,29,1200,TAXISTA,MÉ,CUERNAVACA,1, ,1,1200,8, , ,11,5,1,1,1,5,1,1,1, , , , , , , ,3,1,2.14285714285714, 
    49,1,56,500,VERDULERO,MÉ,CUERNAVACA,1, ,1,500,3, , ,9,5,1,1,1,2,1,1,5, , , , , , , ,2.25,1,1.71428571428571, 
    50,1,48,500,ABOGADO,MÉ,CUERNAVACA,1, ,1,500,4, , ,17,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
    52,1,61,500,ABARROTERO,MÉ,CUERNAVACA,1, ,1,500,2, , ,9,4,4,3,4,3,3,3,1, , , , , , , ,3.5,3.33333333333333,3.42857142857143, 
    53,1,50,300,ESTILISTA,MÉ,XOCHITEPEC,1, ,1,300,2, , ,17,3,1,1,1,1,1,2,1, , , , , , , ,1.5,1.33333333333333,1.42857142857143, 
    54,2,51,300,ESTILISTA,MÉ,XOCHITEPEC,1, ,1,300,1, , ,12,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
    55,1,51,700,RESTAURANTE,MÉ,XOCHITEPEC,1, ,1,700,3, , ,17,4,3,1,1,3,1,1,1, , , , , , , ,2.75,1,2, 
    61,1,62,400,PROFESOR,MÉ,XOCHITEPEC,1, ,1,400,2, , ,17,1,1,1,1,4,1,1,1, , , , , , , ,1.75,1,1.42857142857143, 
    62,1,57,300,CARNICERO,MÉ,XOCHITEPEC,1, ,1,300,2, , ,10,3,3,3,3,3,3,3,1, , , , , , , ,3,3,3, 
    64,1,45,600,JARDINERO,MÉ,XOCHITEPEC,1, ,1,600,3, , ,7,2,2,1,1,2,1,1,1, , , , , , , ,1.75,1,1.42857142857143, 
    65,1,57,700,ALBAÑIL,MÉ,CUERNAVACA,1, ,1,700,4, , ,12,4,4,2,3,3,3,3,1, , , , , , , ,3.5,2.66666666666667,3.14285714285714, 
    66,1,43,6000,TRAILERO,MÉ,CUERNAVACA,1, ,1,6000,10, , ,12,2,2,2,1,3,3,2,1, , , , , , , ,2.5,1.66666666666667,2.14285714285714, 
    67,1,48,300,PROFESOR,MÉ,CUERNAVACA,1, ,1,300,2, , ,17,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
    71,1,49,900,TAXISTA,MÉ,CUERNAVACA,1, ,1,900,10, , ,8,3,3,1,2,2,2,1,1, , , , , , , ,2.5,1.33333333333333,2, 
    72,1,34,1000,TAXISTA,MÉ,CUERNAVACA,1, ,1,1000,9, , ,6,4,2,1,2,4,5,2,1, , , , , , , ,3.75,1.66666666666667,2.85714285714286, 
    78,1,59,800,VERDULERO,MÉ,CUERNAVACA,1, ,1,800,6, , ,11,3,3,1,2,2,2,2,1, , , , , , , ,2.5,1.66666666666667,2.14285714285714, 
    79,1,48,500,POLLERO,MÉ,CUERNAVACA,1, ,1,500,3, , ,12,2,2,1,2,4,3,3,1, , , , , , , ,2.75,2,2.42857142857143, 
    82,2,32,300,INSTRUCTORA DE GYM,MÉ,CUERNAVACA,1, ,1,300,2, , ,12,2,1,1,1,2,1,1,1, , , , , , , ,1.5,1,1.28571428571429, 
    83,2,45,300,INSTRUCTORA DE YOGA,MÉ,CUERNAVACA,1, ,1,300,2, , ,12,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
    84,1,47,250,POLICIA,MÉ,XOCHITEPEC,1, ,1,250,3, , ,17,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
    85,1,53,300,POLICIA,MÉ,XOCHITEPEC,1, ,1,300,2, , ,17,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
    87,2,55,300,PSICOLOGA,MÉ,XOCHITEPEC,1, ,1,300,3, , ,17,1,1,1,1,3,1,1,1, , , , , , , ,1.5,1,1.28571428571429, 
    88,1,60,300,JUBILADO,MÉ,XOCHITEPEC,1, ,1,400,2, , ,17,2,2,1,2,3,2,2,1, , , , , , , ,2.25,1.66666666666667,2, 
    89,1,31,500,PSICOLOGO,MÉ,CUERNAVACA,1, ,1,500,2, , ,17,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
    90,2,47,400,MEDICO,MÉ,XOCHITEPEC,1, ,1,400,3, , ,19,2,1,1,1,2,2,2,1, , , , , , , ,1.75,1.33333333333333,1.57142857142857, 
    91,1,54,600,MEDICO,MÉ,XOCHITEPEC,1, ,1,600,4, , ,19,3,2,1,2,3,2,1,1, , , , , , , ,2.5,1.33333333333333,2, 
    92,1,57,300,BANQUERO,MÉ,XOCHITEPEC,1, ,1,500,3, , ,17,2,2,1,1,3,3,3,1, , , , , , , ,2.5,1.66666666666667,2.14285714285714, 
    93,1,63,500,AMA DE CASA,MÉ,CUERNAVACA,1, ,1,500,3, , ,17,4,1,1,1,1,1,1,1, , , , , , , ,1.75,1,1.42857142857143, 
    94,1,52,700,JARDINERO,MÉ,CUERNAVACA,1, ,1,700,4, , ,12,2,2,1,1,1,2,2,2, , , , , , , ,1.75,1.33333333333333,1.57142857142857, 
LDG-00,1,20,150,ESTUDIANTE,MEX,MORELIA,1, ,1,150,2, , ,15,2,1,1,1,2,1,2,2, , , , , , , ,1.5,1.33333333333333,1.42857142857143, 
LDG-00,1,21,200,ESTUDIANTE,MEX,MORELIA,1, ,1,200,2, , ,15,2,1,2,1,1,1,2,1, , , , , , , ,1.25,1.66666666666667,1.42857142857143, 
LDG-00,2,26,250,CONTADORA,MEX,MORELIA,1, ,1,250,2, , ,17,2,1,1,1,1,2,1,1, , , , , , , ,1.5,1,1.28571428571429, 
LDG-01,1,18,120,ESTUDIANTE,MEX,MORELIA,1, ,1,120,1, , ,13,2,2,1,1,1,1,1,1, , , , , , , ,1.5,1,1.28571428571429, 
LDG-01,1,37,350,INGENIERO CIVIL,MEX,MORELIA,1, ,1,350,3, , ,17,1,1,1,1,1,1,1,1, , , , , , , ,1,1,1, 
LDG-01,2,45,200,ODONTOLOGA,MEX,MORELIA,1, ,1,200,2, , ,17,1,1,1,1,1,2,1,1, , , , , , , ,1.25,1,1.14285714285714, 
