Folio,Sexo,Edad,Gasolina1,Ocupación,País,Ciudad,ConducesAutomóvil,ConducesMotocicleta,Conduces,Gasolina2,Horas1,Gasolina3,Horas2,AñosEscolaridad,AG5,AG7,AG8,AG9,AG14,AG15,AG16,AG21,CAM1,CAM3,CAM4,CAM6,CAM7,CAM12,CAM18,AgrAutoF1,AgrAutoF2,AgrAuto,AgrMoto
C039,1,16, ,ESTUDIANTE,COL,ROLDANILLO,1,2,3,250,4,250,4,11,1,1,1,1,3,2,1,1,5,2,1,1,1,3,1,1.75,1,1.42857142857143,2
C046,2,34, ,ESTUDIANTE,COL,ZARZAL,1,2,3,700,4,120,5,16,2,1,1,1,2,1,1,1,4,1,1,2,1,2,1,1.5,1,1.28571428571429,1.71428571428571
C047,1,26, ,ESTUDIANTE,COL,ROLDANILLO,1,2,3,750,4,125,4,16,3,1,1,1,2,2,1,1,2,2,1,1,1,2,1,2,1,1.57142857142857,1.42857142857143
C049,2,20, ,ESTUDIANTE,COL,ROLDANILLO,1,2,3,100,2,60,1,14,2,2,1,1,2,1,1,1,4,1,3,2,2,3,1,1.75,1,1.42857142857143,2.28571428571429
C050,1,19, ,PUBLICISTA,COL,ROLDANILLO,1,2,3,400,1,50,1,15,2,2,1,1,1,1,1,1,2,2,1,2,4,3,2,1.5,1,1.28571428571429,2.28571428571429
C051,1,28, ,ESTUDIANTE,COL,LA UNION,1,2,3,1000,10,150,3,16,1,3,1,1,3,1,1,1,4,3,3,2,3,4,5,2,1,1.57142857142857,3.42857142857143
C052,1,21, ,ESTUDIANTE,COL,ZARZAL,2,2,3,1000,1,300,2,17,5,3,2,1,5,4,1,1,5,1,3,3,3,2,4,4.25,1.33333333333333,3,3
C056,1,20, ,ESTUDIANTE,COL,ROLDANILLO,1,2,3,200,1,75,3.5,15,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1.28571428571429
C059,2,22, ,ESTUDIANTE,COL,ROLDANILLO,1,2,3,250,1,250,1,15,1,1,1,1,1,1,1,1,3,1,4,2,1,2,1,1,1,1,2
C061,1,34, ,REALIZADOR AUDIOVISUAL,COL,ROLDANILLO,1,2,3,300,2,50,.5,17,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1.5,1,1.28571428571429,1.14285714285714
C066,2,22, ,ESTUDIANTE,COL,ZARZAL,1,2,3,100,2,100,2,15,1,1,1,1,1,1,1,1,1,1,2,1,2,3,1,1,1,1,1.57142857142857
C067,1,41, ,EMPLEADO,COL,ROLDANILLO,1,2,3,625,12,125,2,16,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1.28571428571429
C068,2,42, ,DOCENTE Y ASESOR,COL,ROLDANILLO,1,2,3,250,1,50,.5,19,2,2,1,1,1,1,1,1,3,1,2,1,1,2,1,1.5,1,1.28571428571429,1.57142857142857
C071,1,23, ,ESTUDIANTE,COL,LA UNION,1,2,3,600,1,250,4,16,2,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1.5,1,1.28571428571429,1.57142857142857
C093,1,18, ,ESTUDIANTE,COL,ROLDANILLO,1,2,3,250,.5,150,1,13,1,1,1,1,2,1,1,1,2,1,2,1,1,4,1,1.25,1,1.14285714285714,1.71428571428571
C094,2,20, ,ESTUDIANTE Y TRABAJADOR,COL,ROLDANILLO,1,2,3,250,1,150,3,12,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.14285714285714
C095,1,23, ,ESTUDIANTE Y TRABAJADOR,COL,ROLDANILLO,1,2,3,250,1.5,215,3,13,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1.57142857142857
C097,1,19, ,ESTUDIANTE Y TRABAJADOR,COL,LA UNION,1,2,3,750,3,50,4,13,1,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1.57142857142857
C099,1,18, ,ESTUDIANTE Y TRABAJADOR,COL,ROLDANILLO,1,2,3,2550,10,225,5,13,3,2,1,1,1,1,1,1,3,1,1,1,2,1,1,1.75,1,1.42857142857143,1.42857142857143
KMC02,1,19, ,ESTUDIANTE UNIVERSITARIO,MEX,ESTADO DE MEXICO, ,3,3,450,2,200,.66,14,3,2,1,1,1,2,2,1,3,2,2,2,3,3,1,2,1.33333333333333,1.71428571428571,2.28571428571429
